                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.1333,                0.62604,                0.91674,                0.98061,                0.97453,                0.99049,                0.69023,                 1.0158,                0.54466,                0.90068,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.1353,                0.62653,                0.92056,                0.97801,                0.96804,                0.98919,                0.69563,                 1.0064,                0.55106,                  0.898,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.1383,                 0.6261,                0.91564,                0.97753,                0.97631,                0.99143,                0.67307,                 1.0433,                0.54224,                0.90658,               0.001109,               0.001109,               0.001109
                     92,                 1.1288,                0.62648,                0.91697,                0.97869,                 0.9679,                 0.9861,                0.69619,                 1.0239,                0.53835,                0.90219,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.1187,                0.61537,                0.91252,                0.97969,                0.97144,                0.99164,                0.61824,                 1.2395,                0.61024,                0.94532,              0.0010892,              0.0010892,              0.0010892
                     94,                 1.1199,                0.61069,                0.91005,                0.98085,                0.97511,                0.98667,                0.70236,                 1.0137,                0.51689,                0.90001,              0.0010793,              0.0010793,              0.0010793
                     95,                 1.1081,                0.60723,                0.91039,                 0.9747,                0.96578,                0.99024,                0.67181,                 1.0717,                0.54953,                0.90864,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.1197,                0.61257,                 0.9133,                0.97369,                 0.9729,                0.99065,                0.69076,                 1.0113,                0.53625,                0.89615,              0.0010595,              0.0010595,              0.0010595
                     97,                  1.108,                0.60331,                 0.9106,                0.98034,                0.97193,                0.99055,                0.68351,                 1.0326,                0.52367,                0.90354,              0.0010496,              0.0010496,              0.0010496
                     98,                 1.0897,                0.59338,                0.90527,                0.98114,                0.97824,                0.98419,                0.69027,                 1.0002,                0.50983,                0.89632,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.1069,                0.59257,                0.91444,                0.97445,                0.96812,                0.99056,                0.69465,                 1.0194,                0.52887,                0.89866,              0.0010298,              0.0010298,              0.0010298
                    100,                 1.0911,                0.59111,                0.90371,                0.97751,                0.97524,                 0.9915,                0.71098,                0.97343,                0.50765,                0.88934,              0.0010199,              0.0010199,              0.0010199
                    101,                 1.0936,                0.59243,                0.90225,                0.97927,                0.97446,                0.98437,                0.68962,                 1.0353,                0.51432,                0.90528,                0.00101,                0.00101,                0.00101
                    102,                 1.0931,                0.58242,                0.90804,                0.98247,                0.97833,                 0.9925,                0.69128,                 1.0298,                0.50816,                0.90097,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.0772,                0.58214,                0.90473,                0.97971,                0.97076,                0.99174,                0.69164,                 1.0169,                0.53587,                0.89633,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.1091,                 0.5948,                 0.9069,                0.98164,                0.98232,                0.99257,                0.67749,                 1.0356,                0.51231,                0.89955,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.0875,                0.57658,                0.89976,                0.98431,                0.98139,                 0.9933,                0.67431,                 1.0744,                0.51556,                0.90932,              0.0009704,              0.0009704,              0.0009704
                    106,                  1.088,                0.57254,                0.90583,                0.97494,                0.96992,                0.99135,                0.71917,                0.93992,                0.49786,                0.88287,              0.0009605,              0.0009605,              0.0009605
                    107,                 1.0749,                0.57551,                0.90275,                 0.9824,                0.97442,                0.99339,                0.71933,                0.95825,                0.49794,                0.88702,              0.0009506,              0.0009506,              0.0009506
                    108,                 1.0634,                0.57206,                0.90119,                0.98088,                0.97643,                0.99284,                0.71112,                0.95557,                0.49332,                0.88564,              0.0009407,              0.0009407,              0.0009407
                    109,                 1.0724,                0.56638,                0.90182,                0.98455,                0.98202,                0.99364,                0.68702,                  1.065,                0.50459,                0.90681,              0.0009308,              0.0009308,              0.0009308
                    110,                 1.0796,                0.57654,                0.90293,                 0.9839,                0.97733,                0.99364,                0.71951,                0.94113,                0.48726,                0.88194,              0.0009209,              0.0009209,              0.0009209
                    111,                 1.0724,                0.55926,                0.90542,                0.98613,                0.98273,                0.99343,                0.69964,                 1.0343,                0.49104,                0.90034,               0.000911,               0.000911,               0.000911
                    112,                 1.0563,                0.55291,                0.89479,                0.98583,                  0.983,                0.99344,                0.71699,                0.94745,                0.46497,                0.88316,              0.0009011,              0.0009011,              0.0009011
                    113,                  1.054,                0.55466,                0.89831,                0.98468,                 0.9762,                0.99305,                0.73698,                0.92966,                0.48228,                 0.8798,              0.0008912,              0.0008912,              0.0008912
                    114,                 1.0494,                0.55952,                0.90103,                0.98454,                0.97416,                0.99347,                0.73129,                0.93641,                0.47327,                0.88223,              0.0008813,              0.0008813,              0.0008813
                    115,                 1.0577,                0.55662,                0.89771,                0.98344,                0.98279,                0.99393,                0.71304,                0.97543,                0.48325,                0.88826,              0.0008714,              0.0008714,              0.0008714
                    116,                 1.0523,                0.54531,                 0.8973,                 0.9844,                0.97271,                0.99257,                0.71754,                0.94899,                0.47011,                0.88434,              0.0008615,              0.0008615,              0.0008615
                    117,                 1.0355,                0.53406,                0.89255,                0.98263,                0.97416,                 0.9934,                0.71179,                  0.966,                 0.4828,                0.88553,              0.0008516,              0.0008516,              0.0008516
                    118,                 1.0372,                0.54004,                0.89443,                0.98722,                0.98021,                0.99389,                0.73823,                0.92147,                0.46746,                0.87597,              0.0008417,              0.0008417,              0.0008417
                    119,                 1.0547,                0.54381,                0.90169,                0.98276,                0.97733,                 0.9929,                0.72977,                0.91116,                0.46025,                0.87685,              0.0008318,              0.0008318,              0.0008318
                    120,                   1.03,                0.54661,                 0.8924,                0.98594,                0.98141,                0.99381,                0.73882,                0.91116,                0.45395,                0.87633,              0.0008219,              0.0008219,              0.0008219
                    121,                 1.0484,                0.55072,                0.89581,                0.98928,                0.98293,                 0.9944,                0.70703,                0.98778,                0.47247,                 0.8901,               0.000812,               0.000812,               0.000812
                    122,                 1.0213,                0.53646,                0.88601,                0.98358,                0.98209,                 0.9937,                0.72054,                0.94973,                0.45905,                0.88283,              0.0008021,              0.0008021,              0.0008021
                    123,                 1.0274,                0.52838,                0.89382,                0.98487,                0.97393,                0.99312,                0.73757,                0.92537,                0.45761,                0.87816,              0.0007922,              0.0007922,              0.0007922
                    124,                 1.0148,                0.52951,                0.89129,                0.98629,                0.97847,                0.99361,                0.73293,                0.90655,                0.45182,                0.87594,              0.0007823,              0.0007823,              0.0007823
                    125,                 1.0235,                0.52773,                0.89351,                  0.986,                0.97869,                0.99337,                0.68395,                 1.0546,                0.49034,                0.90378,              0.0007724,              0.0007724,              0.0007724
                    126,                 1.0209,                0.52827,                0.88777,                0.98491,                0.97606,                0.99356,                0.75475,                0.87197,                0.43978,                0.86979,              0.0007625,              0.0007625,              0.0007625
                    127,                 1.0333,                0.52732,                0.89753,                0.98338,                0.97923,                0.99388,                0.71242,                0.96153,                0.46662,                0.88178,              0.0007526,              0.0007526,              0.0007526
                    128,                 1.0211,                0.52135,                0.89392,                0.98492,                0.97824,                0.99361,                0.75019,                0.90805,                0.43889,                0.87496,              0.0007427,              0.0007427,              0.0007427
                    129,                 1.0117,                 0.5247,                0.88809,                0.98892,                0.98459,                0.99446,                  0.739,                0.93774,                0.45146,                0.87778,              0.0007328,              0.0007328,              0.0007328
                    130,                 1.0106,                0.51489,                0.88922,                0.98342,                0.98187,                0.99391,                0.74451,                0.88092,                0.43997,                0.86812,              0.0007229,              0.0007229,              0.0007229
                    131,                 1.0128,                0.52713,                0.88654,                0.98675,                0.97914,                0.99413,                0.74813,                0.89125,                0.44356,                0.87117,               0.000713,               0.000713,               0.000713
                    132,                 1.0122,                0.52068,                0.89333,                0.98609,                0.97688,                0.99392,                0.72411,                0.94704,                0.44071,                0.88138,              0.0007031,              0.0007031,              0.0007031
                    133,                 1.0012,                0.51287,                 0.8885,                0.98896,                0.98028,                0.99418,                0.74932,                0.87521,                0.42696,                0.86756,              0.0006932,              0.0006932,              0.0006932
                    134,                0.99953,                0.51865,                0.89053,                0.99085,                 0.9796,                0.99402,                0.74231,                0.89416,                0.43417,                0.87064,              0.0006833,              0.0006833,              0.0006833
